TRB,AST,STL,BLK,TOV,PF,PTS
77,102,36,3,68,50,423
277,43,54,43,51,177,482
189,30,39,32,33,139,284
88,13,15,11,18,38,198
286,432,109,20,226,233,1373
657,67,36,116,132,225,644
177,22,14,47,32,82,128
5,2,0,0,1,0,6
113,64,39,22,38,63,271
156,391,78,28,146,143,760
120,299,62,22,107,114,552
36,92,16,6,39,29,208
462,40,39,67,48,183,501
425,92,78,30,85,231,915
274,78,39,39,59,165,537
200,112,76,8,57,72,565
476,230,78,48,156,162,1430
315,148,85,31,144,217,1410
414,337,74,46,166,190,924
115,2,3,3,22,72,207
40,7,4,15,11,26,20
117,243,54,4,91,119,571
190,27,24,17,39,78,135
244,244,89,4,89,177,856
88,50,29,13,35,73,323
20,51,20,2,29,30,121
142,204,50,10,117,125,523
86,149,36,6,96,90,353
56,55,14,4,21,35,170
318,108,87,20,77,139,867
52,118,16,2,61,30,125
678,203,50,146,122,119,1022
276,105,40,30,69,107,682
3,1,0,0,0,2,2
533,214,88,76,218,159,2161
27,2,4,5,6,7,62
108,72,28,3,53,85,410
281,450,168,23,252,203,1929
115,33,21,14,32,84,134
74,14,4,11,14,50,69
118,20,15,24,34,104,163
107,19,13,21,32,92,150
11,1,2,3,2,12,13
97,24,17,17,19,50,178
156,45,34,14,33,129,461
84,30,16,5,15,74,210
72,15,18,9,18,55,251
345,38,29,6,39,89,132
275,319,85,30,184,143,1012
2,2,0,1,1,1,3
123,35,34,28,47,78,303
173,368,62,6,139,128,701
412,39,29,68,77,246,533
297,21,18,41,56,183,353
115,18,11,27,21,63,180
269,625,125,11,221,150,1164
194,488,97,11,176,113,923
75,137,28,0,45,37,241
172,193,87,14,88,134,668
108,18,4,16,25,90,106
521,155,80,17,107,114,797
152,224,99,8,70,192,558
77,182,34,3,113,58,279
116,49,23,6,46,77,326
81,141,35,8,63,69,223
350,46,24,31,26,127,187
103,170,47,21,95,122,616
513,96,46,79,73,272,976
135,14,13,29,29,91,118
86,11,10,18,21,63,79
49,3,3,11,8,28,39
38,42,16,1,27,25,111
6,6,3,0,6,4,21
8,11,4,1,8,10,35
24,25,9,0,13,11,55
305,104,51,27,83,144,970
229,82,38,18,58,117,764
76,22,13,9,25,27,206
133,71,51,49,45,126,560
